,USDJPY,GBPJPY,EURJPY,UERUSD,GBPUSD
2023-05-30 9:00,140.22,173.359,150.2875,1.07178,1.2361
2023-05-30 10:00,140.077,173.3151709,150.1835,1.07215,1.237285
2023-05-30 11:00,140.034,173.1912505,150.13,1.07215,1.23678
2023-05-30 12:00,140.2035,173.1415082,150.1085,1.07065,1.23493
2023-05-30 13:00,140.335,173.3677539,150.26,1.07062,1.235385
2023-05-30 14:00,140.6275,173.4214111,150.2655,1.06855,1.233197
2023-05-30 15:00,140.441,173.3196425,150.2041774,1.069518,1.23409
2023-05-30 16:00,140.403,173.3590941,149.9721664,1.068155,1.234725
2023-05-30 17:00,140.176,173.4331946,150.0885,1.07056,1.237465
2023-05-30 18:00,140.515,173.8775,150.3306753,1.069855,1.23712
2023-05-30 19:00,140.1815,174.0843957,150.3624618,1.072627,1.24181
2023-05-30 20:00,140.05,174.031732,150.3639822,1.073645,1.24264
2023-05-30 21:00,139.629,173.674739,150.0076235,1.07433,1.24383
2023-05-30 22:00,139.879,173.7688841,150.0237244,1.072525,1.24228
2023-05-30 23:00,139.947,173.8925443,150.1323426,1.07278,1.24256
2023-05-31 0:00,139.8275,173.4671999,149.9740825,1.072565,1.24058
2023-05-31 1:00,139.7605,173.2545,149.7785326,1.07168,1.23976
2023-05-31 2:00,139.946,173.3867964,149.9563373,1.07153,1.238955
2023-05-31 3:00,139.8565,173.2685,149.9,1.071795,1.23899
2023-05-31 4:00,139.749,173.3495,149.9425,1.07295,1.240485
2023-05-31 5:00,139.786,173.4825,150.0288191,1.073395,1.241
2023-05-31 6:00,139.795,173.5660452,150.0718896,1.073514,1.2415
2023-05-31 7:00,139.773,173.4265,150.0253495,1.073364,1.2407
2023-05-31 8:00,139.77,173.468547,150.0345,1.073399,1.2411
