,USDJPY,GBPJPY,EURJPY,UERUSD,GBPUSD
2023-05-30 9:00,140.22,173.359,150.2875,1.07178,1.2361
2023-05-30 10:00,140.077,173.3151709,150.1835,1.07215,1.237285
2023-05-30 11:00,140.034,173.1912505,150.13,1.07215,1.23678
2023-05-30 12:00,140.2035,173.1415082,150.1085,1.07065,1.23493
2023-05-30 13:00,140.335,173.3677539,150.26,1.07062,1.235385
2023-05-30 14:00,140.6275,173.4214111,150.2655,1.06855,1.233197
2023-05-30 15:00,140.441,173.3196425,150.2041774,1.069518,1.23409
2023-05-30 16:00,140.403,173.3590941,149.9721664,1.068155,1.234725
2023-05-30 17:00,140.176,173.4331946,150.0885,1.07056,1.237465
2023-05-30 18:00,140.515,173.8775,150.3306753,1.069855,1.23712
2023-05-30 19:00,140.1815,174.0843957,150.3624618,1.072627,1.24181
2023-05-30 20:00,140.05,174.031732,150.3639822,1.073645,1.24264
2023-05-30 21:00,139.629,173.674739,150.0076235,1.07433,1.24383
2023-05-30 22:00,139.879,173.7688841,150.0237244,1.072525,1.24228
2023-05-30 23:00,139.947,173.8925443,150.1323426,1.07278,1.24256
2023-05-31 0:00,139.8275,173.4671999,149.9740825,1.072565,1.24058
2023-05-31 1:00,139.7605,173.2545,149.7785326,1.07168,1.23976
2023-05-31 2:00,139.946,173.3867964,149.9563373,1.07153,1.238955
2023-05-31 3:00,139.8565,173.2685,149.9,1.071795,1.23899
2023-05-31 4:00,139.749,173.3495,149.9425,1.07295,1.240485
2023-05-31 5:00,139.786,173.4825,150.0288191,1.073395,1.241
2023-05-31 6:00,139.795,173.5660452,150.0718896,1.073514,1.2415
2023-05-31 7:00,139.773,173.4265,150.0253495,1.073364,1.2407
2023-05-31 8:00,139.77,173.468547,150.0345,1.073399,1.2411
2023-05-31 9:00,139.7815,173.4625,149.9883451,1.07302,1.240925
2023-05-31 10:00,139.847,173.371,149.8515,1.071435,1.239787
2023-05-31 11:00,139.7845,173.2385,149.6225,1.07041,1.23935
2023-05-31 12:00,139.795,173.1691526,149.5685,1.06994,1.238825
2023-05-31 13:00,139.841,173.253,149.5805,1.06982,1.2391
2023-05-31 14:00,139.4215,172.6944523,149.1035,1.069375,1.23905
2023-05-31 15:00,139.409,172.6640019,148.9647899,1.068545,1.238445
2023-05-31 16:00,139.749,172.7675,149.1520114,1.067285,1.236375
2023-05-31 17:00,139.8165,172.7515349,149.1025,1.06637,1.235559
2023-05-31 18:00,139.9565,173.014925,149.3216891,1.066915,1.236205
2023-05-31 19:00,139.902,172.918872,149.3175,1.067315,1.236
2023-05-31 20:00,139.988,173.0625,149.4685,1.067685,1.23635
2023-05-31 21:00,139.611,172.641,149.1555,1.068295,1.23654
2023-05-31 22:00,139.7815,172.8852537,149.3195,1.068375,1.236825
2023-05-31 23:00,140.329,173.5883762,149.7115,1.066985,1.23701
2023-06-01 0:00,139.8055,173.0596362,149.008197,1.065825,1.23786
2023-06-01 1:00,139.787,173.2575,148.9135,1.065295,1.23935
2023-06-01 2:00,139.729,173.03,148.64,1.06378,1.2382
2023-06-01 3:00,139.271,173.1785,148.7095,1.067835,1.243645
2023-06-01 4:00,139.313,173.1455799,148.7786217,1.067945,1.242853
2023-06-01 5:00,139.3735,173.3455,148.971,1.068905,1.243745
2023-06-01 6:00,139.309,173.2806141,148.8844041,1.068735,1.243858
2023-06-01 7:00,139.259,173.2521219,148.8778976,1.069075,1.2441
2023-06-01 8:00,139.035,173.0615,148.6935,1.06955,1.244825
