,USDJPY,GBPUSD
2023/05/26 9:00,140.0365,1.23154
2023/05/26 10:00,139.884,1.23278
2023/05/26 11:00,139.831,1.23265
2023/05/26 12:00,139.836,1.23297
2023/05/26 13:00,139.751,1.233465
2023/05/26 14:00,139.8045,1.233645
2023/05/26 15:00,139.7205,1.234645
2023/05/26 16:00,139.559,1.23496
2023/05/26 17:00,139.7155,1.23624
2023/05/26 18:00,139.762,1.23532
2023/05/26 19:00,139.6995,1.2357
2023/05/26 20:00,139.751,1.2376
2023/05/26 21:00,139.747,1.238615
2023/05/26 22:00,140.131,1.237087
2023/05/26 23:00,140.1335,1.23581
2023/05/27 0:00,140.488,1.23315
2023/05/27 1:00,140.588,1.233965
2023/05/27 2:00,140.5775,1.23453
2023/05/27 3:00,140.609,1.2356
2023/05/27 4:00,140.684,1.23485
2023/05/27 5:00,140.628,1.234964
2023/05/27 6:00,140.655,1.2346
2023/05/27 7:00,140.655,1.2346
2023/05/27 8:00,140.655,1.2346
