年月日,終値
2021/01/04 9:00:00,103.064
2021/02/01 9:00:00,104.683
2021/03/01 9:00:00,106.492
2021/04/01 9:00:00,110.79
2021/05/03 9:00:00,109.344
2021/06/01 9:00:00,109.41
2021/07/01 9:00:00,111.082
2021/08/02 9:00:00,109.632
2021/09/01 9:00:00,110.183
2021/10/01 9:00:00,111.397
2021/11/01 9:00:00,114.074
2021/12/01 9:00:00,113.245
2022/01/03 9:00:00,115.28
2022/02/01 9:00:00,115.154
2022/03/01 9:00:00,115.26
2022/04/01 9:00:00,122.12
2022/05/02 9:00:00,130.063
2022/06/01 9:00:00,128.919
2022/07/01 9:00:00,135.962
2022/08/01 9:00:00,132.884
2022/09/01 9:00:00,139.478
2022/10/03 9:00:00,144.782
2022/11/01 9:00:00,148.734
2022/12/01 9:00:00,136.805
